,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
10,,,,,,,,*,TURKMENISTAN: NISA,38,58.3,18,7.1,10,,,,,,,,3,,,,,,,,,,,,,,,,
427,,,,,,,,*,AZERBAIJAN,40.5,46.5,12,6.7,10,,,,,,,,3,,,,,,,,,,,,,,,,
500,,,,,,,,*,KAZAKHSTAN,42.7,76.5,20,6.7,8,,,,,,,,3,,,,,,,,,,,,,,,,
735,6,21,,,,,,*,ARMENIA: BAYOTSDZOR,39.7,45.5,16,5.8,8,,,,,,,,2,,,,,,,,,,,,,,,,
743,,,,,,,,*,RUSSIA: CASPIAN SEA,42.1,48.2,20,5.5,7,,,,,,,,1,,,,,,,,,,,,1,,,,
818,5,15,,,,,,*,AFGHANISTAN; INDIA: HINDU-KUSH; KAZAHKSTAN: BALKHA,36.8,66.2,50,7.5,8,,3,,,,,,3,,,,,,3,,,,,,3,,,,
851,,,,,,,,*,ARMENIA: DVIN,40,44.6,10,5.2,8,12000,4,,,,,,,,,,,12000,4,,,,,,,,,,
856,1,,,,,,,*,ARMENIA: DVIN,40,44.6,10,4.5,8,,,,,,,,3,,3,,,,2,,,,,,3,,3,,
891,,,,,,,,*,IRAN: ARDABIL,38.3,48.3,20,6.3,9,,,,,,,,3,,,,,,,,,,,,,,,,
942,6,,,,,,,*,UZBEKISTAN: BUKHARA,39.7,64.5,20,6.7,9,,,,,,,,3,,,,,,,,,,,,,,,,
953,8,20,,,,,,*,TURKMENISTAN: NISA,38,58.3,18,7.1,10,,,,,,,,3,,,,,,,,,,,,,,,,
1003,,,,,,,,*,"TURKEY: KARS, DIGOR, ANI (ARMENIA)",40.5,43.3,20,4.2,7,,3,,,,,,2,,,,,,,,,,,,,,,,
1042,11,4,13,30,,,,*,IRAN: TABRIZ,38.1,46.3,15,7.6,9,50000,4,,,,,,4,,,,,50000,4,,,,,,4,,,,
1046,,,,,,,,*,TURKEY: ANI (ARMENIA),40.5,43.5,15,5.5,8,,3,,,,,,3,,,,,,,,,,,,,,,,
1101,,,,,,,,*,IRAN: KHORASAN,36,59,10,6.5,10,60000,4,,,,,,,,,,,60000,4,,,,,,,,,,
1102,2,28,,,,,,*,AFGHANISTAN: GERAT,35,62.1,15,6.1,8,,,,,,,,2,,,,,,,,,,,,,,,,
1175,,,,,,,,*,TURKMENISTAN,37.5,65.5,15,7.1,10,,,,,,,,,,,,,,,,,,,,,,,,
