Tsunami,Latitude,Longitude,Depth,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
0.0,78.77,-41.18000000000001,6.0,0.0,0.0,0.0,3000000.0,0.0,0.0
0.0,83.363,84.567,49.0,0.0,0.0,0.0,3500000.0,0.0,0.0
0.0,75.859,-73.187,12.0,0.0,0.0,0.0,3000000.0,0.0,0.0
0.0,200.77000000000004,158.66699999999997,24.0,0.0,0.0,59.0,8000000.0,0.0,100.0
0.0,128.36399999999998,294.775,118.0,53.0,0.0,71.0,33500035.0,50.0,569.0
0.0,423.2200000000001,-85.68500000000002,172.0,54.0,0.0,1305.0,24500000.0,2664.0,1298.0
0.0,299.40299999999996,-80.93599999999998,169.0,254.0,0.0,276.0,13000000.5,1000.0,150.0
0.0,321.38800000000003,225.2249999999999,137.0,1505.0,0.0,6535.0,56000410.9,48959.0,0.0
0.0,504.62500000000006,711.3990000000001,285.0,439.0,0.0,734.0,127500125.0,2741.0,490.0
0.0,386.24799999999993,-219.3150000000001,314.0,644.0,0.0,3556.0,90500055.3,3359.0,2128.0
0.0,417.036,864.884,375.0,6771.0,0.0,9824.0,118001031.0,121171.0,531.0
0.0,787.907,438.4799999999999,515.0,15418.0,0.0,9586.0,133000186.7,135091.0,8550.0
